"serialNumberInserv","system_companyName","system_model","updated","system_installDate","capacity_total_sizeTiB","capacity_total_freePct","capacity_byType_fc_sizeTiB","capacity_byType_nl_sizeTiB","capacity_byType_ssd_sizeTiB","capacity_total_dedupeRatio","virtualCapacity_byType_tdvv_vvCount","virtualCapacity_byType_tdvv_sizeTiB"
"3831","Torpedo","8400","2016-09-21 16:19:18","2016-01-29","27.921875","55.81281280517578","","","27.921875","3.700000047683716","5","12.0"
"2808","Dragon Man","7450","2016-09-21 23:16:29","2014-11-26","139.609375","14.058478355407715","","","139.609375","1.2000000476837158","21","56.4"
"3335","Necrodamus","7200c","2016-09-21 17:05:57","2015-11-23","244.28125","54.180789947509766","230.34375","","13.9375","","1","0.234375"
"165","Blaze","7200c","2016-09-21 22:28:43","2016-01-26","28.109375","8.581156730651855","","21.140625","6.96875","1.2000000476837158","1","2.4"
"580","Arides","7400","2016-09-21 16:54:01","2013-07-25","745.828125","39.334686279296875","373.125","338.53125","34.171875","1.100000023841858","1","2.4"
"3021","Franklin Storm","7440c","2016-09-21 16:19:18","2015-04-16","167.53125","22.263803482055664","","","167.53125","1.100000023841858","2","6.0"
"1561","Cat-Man","7400","2016-09-21 18:52:20","2015-02-25","553.765625","38.72492218017578","358.3125","","195.453125","1.600000023841858","34","159.6"
"2562","Mister Machine","8400","2016-09-21 21:43:31","2016-07-25","160.46875","38.924049377441406","104.625","","55.84375","1.399999976158142","29","34.05"
"362","Brian Braddock","7440c","2016-09-21 23:08:29","2015-09-18","251.3671875","40.90520477294922","","","251.3671875","3.5","2","2.4011718749999997"
"1515","Mister Two","7200c","2016-09-21 20:20:49","2015-05-05","24.03125","25.98341941833496","17.0625","","6.96875","1.0","1","0.1171875"
"3685","Vincente","7450","2016-09-21 20:43:01","2014-10-15","55.75","62.48598861694336","","","55.75","","",""
"190","Melissa Gold","7450","2016-09-21 19:11:47","2014-04-07","39.9375","9.247848510742188","","","39.9375","3.799999952316284","25","60.0"
"3087","Devil Dinosaur","7200","2016-09-21 19:04:57","2013-08-14","20.3125","78.08654022216797","6.375","","13.9375","","",""
"4438","Kwannon","8200","2016-09-21 17:37:59","2016-08-26","27.921875","73.34219360351562","","","27.921875","","",""
"3966","Hate-Monger","7200c","2016-09-21 19:43:47","2016-04-26","17.421875","35.885650634765625","","","17.421875","1.600000023841858","1","1.2"
"34","Dark Phoenix","7400","2016-09-21 18:19:30","2014-05-13","753.177734375","30.76833152770996","307.125","394.84375","51.208984375","1.0","1","0.05859375"
"704","Hank Pym","7200","2016-09-21 21:05:38","2014-11-06","129.96875","38.47829818725586","38.390625","84.609375","6.96875","1.399999976158142","1","0.5859375"
"3389","Phoenix","7450c","2016-09-21 19:40:36","2015-06-19","335.0625","69.5077896118164","","","335.0625","","",""
"3632","Bloodsport","8400","2016-09-21 21:42:02","2016-07-27","27.875","84.88648986816406","","","27.875","","",""
"3424","Ezekiel Sims","7450","2016-09-21 20:34:45","2015-02-17","34.90234375","0.6435366272926331","","","34.90234375","1.399999976158142","27","25.8673828125"
"2688","Multiple Man","8200","2016-09-21 19:47:32","2016-03-26","20.90625","24.46748924255371","","","20.90625","2.0","6","18.0"
"3710","Gabriel Summers","7440c","2016-09-21 18:30:19","2015-12-10","495.2109375","79.19171142578125","479.53125","","15.6796875","2.5999999046325684","2","0.014062499999999999"
"3961","Whiplash","7200c","2016-09-21 21:33:02","2015-05-25","55.84375","29.476776123046875","","","55.84375","","",""
"983","Paladin","8400","2016-09-21 22:10:15","2016-04-27","554.578125","53.730316162109375","470.8125","","83.765625","1.100000023841858","1","0.234375"
"2985","Warrior Woman","7200","2016-09-21 23:32:32","2013-06-10","145.4375","40.075740814208984","89.578125","","55.859375","1.2000000476837158","1","2.4"
"3183","Abyss","8200","2016-09-21 20:01:48","2016-02-10","69.82421875","33.2755241394043","","","69.82421875","","",""
"2676","Ahab","7200c","2016-09-21 19:10:08","2015-07-22","34.90234375","59.7481803894043","","","34.90234375","1.2999999523162842","5","12.0"
"2708","Sin","7400","2016-09-21 23:11:58","2013-06-13","55.078125","66.68439483642578","25.5","","29.578125","2.5","8","10.8984375"
"561","Chtylok","7200c","2016-09-21 18:25:16","2016-03-05","173.34375","28.308094024658203","89.578125","","83.765625","1.2000000476837158","5","26.4"
"1158","Zarek","7200c","2016-09-21 18:40:18","2015-03-19","13.9375","22.575672149658203","","","13.9375","3.200000047683716","15","48.121874999999996"
"936","Miguel Santos","7400","2016-09-21 21:09:37","2015-05-02","192.0625","25.448461532592773","51.1875","126.9375","13.9375","1.2000000476837158","3","4.8"
"824","Vanguard","8200","2016-09-21 07:27:35","2016-05-27","48.86328125","51.35102844238281","","","48.86328125","1.0","4","9.5765625"
"62","Selene","8400","2016-09-21 18:05:43","2016-01-07","139.6484375","6.0867133140563965","","","139.6484375","","",""
"73","Dominic Petros","8200","2016-09-21 20:11:33","2015-12-03","78.4609375","37.64313507080078","69.75","","8.7109375","1.2999999523162842","1","0.41015625"
"3695","Slick","8200","2016-09-21 23:18:08","2016-03-16","27.921875","45.698097229003906","","","27.921875","1.2999999523162842","1","11.040234374999999"
"4348","Windeagle","8200","2016-09-21 22:08:08","2016-04-12","19.96875","49.52073669433594","","","19.96875","","",""
"2557","Watcher","8200","2016-09-21 18:28:43","2016-04-23","55.859375","50.29719924926758","","","55.859375","1.7999999523162842","7","39.28125"
"294","Shadow Slasher","7450c","2016-09-21 16:13:57","2015-02-03","488.6328125","20.727476119995117","","","488.6328125","1.399999976158142","170","429.08437499999997"
"751","Sluggo","8450","2016-09-21 16:06:16","2016-03-11","446.75","33.326629638671875","","","446.75","1.7000000476837158","55","459.6140625"
"3475","Janus","8200","2016-09-21 21:33:48","2016-03-26","27.921875","26.00027847290039","","","27.921875","1.5","3","14.399999999999999"
"1282","Misty Knight","8200","2016-09-21 21:16:06","2015-10-14","423.9375","71.4612808227539","","256.359375","167.578125","2.0","23","115.19999999999999"
"1406","Piper","7450c","2016-09-21 17:19:20","2015-02-18","39.9375","17.840375900268555","","","39.9375","","",""
"1008","Black Knight","7200c","2016-09-21 19:19:37","2015-03-24","18.984375","19.917695999145508","8.53125","","10.453125","1.2999999523162842","1","7.199999999999999"
"4255","Master","7400c","2016-09-21 23:51:51","2015-10-28","16.640625","4.330986022949219","","","16.640625","","",""
"4127","Man-Thing","20450","2016-09-21 21:21:16","2016-06-10","586.5234375","89.39793395996094","","","586.5234375","","",""
"625","Authority","7450","2016-09-21 13:14:00","2015-05-04","167.53125","38.57256317138672","","","167.53125","1.5","243","178.1015625"
"4406","Tex Dawson","7200c","2016-09-21 19:25:27","2015-04-18","6.96875","10.145740509033203","","","6.96875","","",""
"915","Arishem the Judge","7200","2016-09-21 21:15:05","2014-08-20","66.265625","34.85911560058594","38.390625","","27.875","1.600000023841858","3","7.199999999999999"
"317","Swordsman","7200c","2016-09-21 17:24:04","2015-08-07","246.05078125","31.284826278686523","","169.265625","76.78515625","1.600000023841858","15","29.948437499999997"
"2896","Leader","8440","2016-09-21 23:41:42","2016-07-14","279.296875","73.67412567138672","","","279.296875","1.5","39","55.416796874999996"
"2686","3-D Man","8450","2016-09-21 22:16:54","2016-01-06","55.84375","63.112060546875","","","55.84375","1.399999976158142","4","15.6"
"2610","Stentor","7200c","2016-09-21 16:04:18","2015-03-24","75.21875","73.27326202392578","68.25","","6.96875","2.5","1","0.11367187499999999"
"1457","Lancer","7200c","2016-09-21 22:39:50","2015-01-15","55.84375","23.587017059326172","","","55.84375","1.2000000476837158","8","30.0"
"4000","Absalom","8440","2016-09-21 22:54:51","2016-02-02","118.640625","71.2481918334961","34.875","","83.765625","1.0","1","0.3515625"
"2256","Shinobi Shaw","8200","2016-09-21 18:49:03","2015-10-16","41.8828125","38.12255096435547","","","41.8828125","1.5","10","22.8"
"2907","Crime Master","7450c","2016-09-21 20:04:15","2015-01-12","251.296875","29.33998680114746","","","251.296875","1.600000023841858","92","161.578125"
"3907","Marvin Flumm","7200","2016-09-21 19:03:25","2015-10-20","13.9375","72.35145568847656","","","13.9375","","",""
"2538","Frenzy","8200","2016-09-21 19:08:18","2015-11-20","48.86328125","47.102088928222656","","","48.86328125","1.2000000476837158","16","17.410546874999998"
"4284","Jack Power","8200","2016-09-21 17:35:03","2015-12-29","223.4375","27.666959762573242","","","223.4375","1.399999976158142","41","190.771875"
"4245","Brynocki","7200c","2016-09-21 21:46:17","2015-01-09","6.96875","51.233184814453125","","","6.96875","","",""
"3271","Lancer","7200c","2016-09-21 19:12:14","2015-03-18","13.9375","73.36042785644531","","","13.9375","","",""
"4291","Xemu","8200","2016-09-21 23:50:04","2016-05-13","69.82421875","55.6727294921875","","","69.82421875","","",""
"3410","Hellfire","8200","2016-09-21 23:25:42","2015-11-25","55.859375","61.797203063964844","","","55.859375","","",""
"1362","Pulse","7440c","2016-09-21 23:06:25","2014-12-30","111.703125","51.98279571533203","","","111.703125","1.2000000476837158","34","75.31992187499999"
"2412","Warbird","8200","2016-09-21 22:42:40","2016-07-25","27.921875","39.0948486328125","","","27.921875","","",""
"651","Blur","7200c","2016-09-21 22:22:24","2015-12-29","20.90625","39.45254135131836","","","20.90625","","",""
"3640","Carolyn Trainer","8200","2016-09-21 18:02:05","2016-03-01","27.921875","62.52098846435547","","","27.921875","2.0999999046325684","2","4.8"
"995","Black Dragon","8200","2016-09-21 22:17:50","2016-08-25","140.765625","28.952991485595703","","112.84375","27.921875","1.5","4","9.6"
"3899","Analyzer","7200","2016-09-21 20:09:10","2014-12-11","83.75","75.692626953125","76.78125","","6.96875","1.0","2","1.8585937499999998"
"4202","Steve Rogers","8450","2016-09-21 16:21:57","2016-03-17","446.875","89.7945785522461","","","446.875","","",""
"911","Fer-de-Lance","7400","2016-09-21 21:25:57","2013-07-29","47.234375","30.735197067260742","19.125","21.140625","6.96875","2.200000047683716","1","0.00234375"
"4197","Mary Jane Parker","7400c","2016-09-21 21:57:22","2016-03-25","223.375","89.1376953125","","","223.375","","",""
"3637","Vision","7400","2016-09-21 20:09:44","2015-03-02","144.1875","23.633235931396484","102.375","","41.8125","1.2000000476837158","2","7.8"
"548","Tyrannosaur","7450c","2016-09-21 20:39:18","2015-02-03","167.53125","21.605112075805664","","","167.53125","2.200000047683716","42","252.0"
"2815","Mys-Tech","7400","2016-09-21 20:10:16","2013-04-08","359.390625","40.44498062133789","127.5","126.9375","104.953125","1.5","29","58.828125"
"2311","Sharon Ventura","7400","2016-09-21 23:17:59","2013-10-17","610.625","42.25371170043945","298.59375","281.875","30.15625","1.100000023841858","4","2.4"
"2875","Epoch","8200","2016-09-21 21:19:17","2016-03-14","10.453125","5.511958122253418","","","10.453125","","",""
"1893","Karla Sofen","7440c","2016-09-21 19:54:49","2015-11-13","140.453125","80.92391204833984","","84.609375","55.84375","1.2000000476837158","8","1.2"
"1390","Bethany Cabe","7450c","2016-09-21 17:32:55","2015-11-30","55.84375","6.606743335723877","","","55.84375","1.600000023841858","17","49.856249999999996"
"3700","Wyatt Wingfoot","8200","2016-09-21 20:37:08","2016-06-08","27.921875","29.336877822875977","","","27.921875","","",""
"1861","Lizard","7440c","2016-09-21 17:22:54","2016-05-13","240.703125","35.73920822143555","156.9375","","83.765625","1.600000023841858","48","37.91015625"
"2870","Frank Payne","7450c","2016-09-21 22:07:49","2015-11-05","138.34375","30.61893081665039","","","138.34375","1.0","27","15.144140624999999"
"208","Unseen","7440c","2016-09-21 17:36:59","2015-10-22","293.015625","25.65389633178711","209.25","","83.765625","1.399999976158142","16","125.02265625"
"493","Radian","7200c","2016-09-21 22:22:46","2015-05-04","13.9375","41.74607849121094","","","13.9375","","",""
"364","Victor Strange","7200c","2016-09-21 20:25:44","2015-07-29","334.2578125","41.12480926513672","159.9609375","141.015625","33.28125","1.600000023841858","3","2.634375"
"4241","Hardshell","V800","2016-09-14 14:18:42","2014-02-28","1180.125","47.39533615112305","682.5","451.25","46.375","","",""
"1043","Justine Hammer","7400c","2016-09-21 23:46:06","2015-05-18","307.2109375","12.29051685333252","","","307.2109375","1.399999976158142","30","138.63515625"
"2298","Amanda Sefton","8200","2016-09-21 23:38:20","2016-07-28","55.859375","72.15734100341797","","","55.859375","1.5","6","2.93671875"
"3001","Turbo","7400","2016-09-21 16:56:39","2014-05-12","38.296875","22.562219619750977","","","38.296875","2.4000000953674316","5","21.6046875"
"3598","Link","8440","2016-09-21 19:42:08","2016-01-06","139.609375","72.10128784179688","","","139.609375","1.0","2","14.399999999999999"
"3810","Mortimer Toynbee","7450","2016-09-21 19:23:50","2014-10-06","223.375","11.770774841308594","","","223.375","1.0","1","2.4"
"1877","Straw Man","7450","2016-09-21 16:58:29","2014-09-06","41.8828125","20.607162475585938","","","41.8828125","4.599999904632568","18","38.7515625"
"3789","Mordred","8200","2016-09-21 18:16:53","2016-06-29","41.8828125","9.909531593322754","","","41.8828125","","",""
"3209","Ruth Bat-Seraph","8440","2016-09-21 17:21:44","2015-11-16","335.15625","10.374125480651855","","","335.15625","","",""
"91","Hitman","7440c","2016-09-21 18:45:26","2015-07-29","83.765625","50.347415924072266","","","83.765625","1.2999999523162842","26","61.203515624999994"
"64","Decay","7200","2016-09-21 20:09:27","2015-07-14","15.46875","35.391414642333984","8.5","","6.96875","2.200000047683716","5","2.7703124999999997"
"3367","Anole","7400","2016-09-21 15:56:32","2014-11-28","55.84375","35.61835479736328","","","55.84375","1.600000023841858","14","43.199999999999996"
"2807","Black Goliath","8200","2016-09-21 21:44:08","2016-04-21","27.921875","17.613319396972656","","","27.921875","","",""
"1360","Guido Carosella","7440c","2016-09-21 17:50:08","2015-03-09","837.65625","39.82465744018555","","","837.65625","","",""
"3159","Griffin","8200","2016-09-21 23:46:14","2016-07-06","27.921875","64.10884094238281","","","27.921875","","",""
"3231","Amphibian","8200","2016-09-21 19:06:51","2015-09-29","83.7890625","18.89277458190918","","","83.7890625","1.2000000476837158","8","38.4"
"398","Tommy Lightning","8440","2016-09-21 18:41:14","2016-06-13","292.546875","85.57856750488281","102.375","169.265625","20.90625","1.0","1","7.199999999999999"
"1549","Wade Wilson","7200c","2016-09-21 16:06:11","2015-09-09","381.546875","15.37736988067627","226.6875","126.9375","27.921875","1.399999976158142","2","7.199999999999999"
"3433","Calypso","8200","2016-09-21 16:22:40","2016-08-10","28.765625","17.12384605407715","21.796875","","6.96875","1.0","1","2.4"
"3719","Spider-Woman","8200","2016-09-21 17:54:40","2016-03-05","12.1953125","34.12876510620117","","","12.1953125","","",""
"899","Nova","7400c","2016-09-21 21:36:04","2015-10-19","319.0","44.27471160888672","87.1875","141.0546875","90.7578125","1.600000023841858","38","176.4"
"2765","Jaeger","7200","2016-09-21 20:57:47","2014-12-30","20.90625","30.156951904296875","","","20.90625","1.399999976158142","5","12.0"
"2503","Zach","7200c","2016-09-21 18:35:49","2015-02-19","48.828125","35.84000015258789","","","48.828125","2.299999952316284","3","21.599999999999998"
"418","Volstagg","7200c","2016-09-21 17:25:21","2015-02-22","217.328125","46.47261047363281","34.125","169.265625","13.9375","1.2000000476837158","2","2.5171875"
"2340","Lady Octopus","7440c","2016-09-21 15:58:41","2015-07-30","558.53125","35.0997314453125","","","558.53125","1.2000000476837158","66","434.635546875"
"2909","Blood Rose","8200","2016-09-21 20:19:01","2016-08-15","108.171875","0.30875343084335327","104.6875","","3.484375","","",""
"198","Calypso","8200","2016-09-21 19:24:06","2016-01-12","69.8046875","25.195858001708984","","","69.8046875","","",""
"1025","Gorilla-Man","8440","2016-09-21 18:13:01","2015-10-22","83.7890625","38.57575607299805","","","83.7890625","1.2000000476837158","29","68.51718749999999"
"4469","Sprite","8200","2016-09-15 13:23:19","2016-06-30","27.921875","71.83128356933594","","","27.921875","6.199999809265137","3","8.0859375"
"590","Brainchild","8200","2016-09-21 22:10:21","2016-04-15","83.7890625","42.011653900146484","","","83.7890625","1.399999976158142","144","68.026171875"
"1898","Flubber","7450c","2016-09-21 23:30:51","2016-01-15","446.75","35.243247985839844","","","446.75","","",""
"2953","Space Phantom","7450c","2016-09-21 21:42:19","2015-11-11","558.4375","37.7647590637207","","","558.4375","","",""
"1966","Wildboys","8200","2016-09-21 21:47:36","2016-03-11","55.859375","73.63286590576172","","","55.859375","2.4000000953674316","1","12.0"
"1256","Shanna the She-Devil","7400c","2016-09-21 21:26:30","2015-06-01","251.328125","11.8961763381958","","","251.328125","1.100000023841858","169","78.1494140625"
"2452","Brunnhilda","7200c","2016-09-21 21:52:38","2015-05-01","27.921875","19.390039443969727","","","27.921875","1.399999976158142","5","17.634375"
"3431","Gorilla-Man","7450","2016-09-21 18:03:55","2015-01-06","111.6875","11.674593925476074","","","111.6875","","",""
"3511","Karthon the Quester","8200","2016-09-21 18:26:50","2016-05-09","41.8828125","35.32456588745117","","","41.8828125","","",""
"442","Force","8200","2016-09-21 20:20:06","2016-03-16","167.578125","53.10372543334961","","","167.578125","1.5","120","54.8068359375"
"2603","Prime Mover","8200","2016-09-21 19:24:31","2015-12-30","83.765625","68.85608673095703","","","83.765625","1.2999999523162842","7","16.432031249999998"
"139","Agamemnon","7450c","2016-09-21 22:55:20","2015-04-25","53.25","32.08259963989258","","","53.25","1.600000023841858","3","9.7171875"
"1069","Grizzly","7400c","2016-09-21 23:45:23","2013-01-11","320.59765625","30.5849666595459","102.375","183.3203125","34.90234375","1.399999976158142","4","7.903124999999999"
"3827","Scarlet Beetle","7200c","2016-09-21 22:07:30","2015-07-22","27.921875","33.56183624267578","","","27.921875","","",""
"2592","Rhiannon","7200c","2016-09-21 17:28:35","2015-08-14","48.86328125","26.884641647338867","","","48.86328125","1.100000023841858","36","14.0625"
"2698","Ganymede","8440","2016-09-21 19:32:50","2016-01-04","299.96875","49.00510787963867","244.125","","55.84375","1.2000000476837158","3","9.6"
"4411","Allatou","7440c","2016-09-21 16:17:09","2015-09-01","729.4375","92.51457214355469","","338.53125","390.90625","","",""
"2940","Desmond Pitt","7200","2016-09-21 22:52:22","2014-11-27","13.9375","22.505605697631836","","","13.9375","1.7000000476837158","20","10.359375"
"4124","Martin Preston","7200c","2016-08-18 15:27:30","2015-12-11","6.96875","67.65695190429688","","","6.96875","","",""
"701","All-American","7400","2016-09-21 20:37:02","2015-01-28","370.265625","50.03481674194336","174.375","169.265625","26.625","1.100000023841858","15","5.607421875"
"3082","Noh-Varr","7200c","2016-09-21 19:38:12","2015-03-11","26.625","76.28374481201172","","","26.625","1.7999999523162842","6","8.2048828125"
"4302","Mantra","7200c","2016-09-21 16:16:12","2015-06-01","41.8828125","67.59466552734375","","","41.8828125","1.600000023841858","6","14.73779296875"
"2131","Wrecker","7200","2016-09-21 18:38:57","2014-12-03","20.90625","62.40657424926758","","","20.90625","","",""
"4028","Purple Girl","7400c","2016-09-21 18:33:09","2015-03-24","111.6875","59.47467803955078","","","111.6875","","",""
"1351","Ned Horrocks","8200","2016-09-21 23:36:31","2016-04-26","11.59375","52.00471878051758","","","11.59375","1.2000000476837158","4","9.571875"
"3973","Coldblood","7450c","2016-09-21 17:20:31","2015-08-18","446.75","73.48121643066406","","","446.75","2.0","25","19.81640625"
"151","Cannonball I","7450","2016-09-21 17:21:16","2014-11-13","307.140625","15.13519287109375","","","307.140625","1.100000023841858","67","15.2859375"
"4290","John Falsworth","8400","2016-09-21 17:56:15","2016-04-08","83.7890625","46.02330780029297","","","83.7890625","","",""
